Tên sản phẩm,Loại sản phẩm,Mã SKU,LC_CN1_Tồn kho ban đầu,LC_CN1_Giá vốn khởi tạo,PL_Giá bán lẻ,PL_Giá nhập
NÓN DÂY TRƠN BỘ 7 CÁI,"Nón, Nón treo",NDT/7,6,0,150.000,111.000
Bộ ac in men HB các màu,Hàng Gốm Sứ,AAC0020,6,0,1.200.000,889.000
Túi cỏ bàng vẽ,"Túi xách, Làn, Ví",TCBV,6,0,300.000,222.000
Nước hoa Miss SaiGon Elegance Amethyst N1 (Màu tím) 50ml,Nước Hoa,8934662176013,6,0,720.000,533.000
Nước hoa Miss SaiGon Elegance Sapphire N2 (Màu xanh dương) 50ml,Nước Hoa,8934662176020,6,0,720.000,533.000
Nước hoa Miss SaiGon Elegance Amber N5 (Màu cam) 50ml,Nước Hoa,8934662176051,6,0,720.000,533.000
Khay tròn gắn trai KT: phi 24,"Khay tre, khảm trai, gỗ",KTGT/24,6,0,200.000,148.000
Đèn lồng tỏi 20cm,Đèn lồng,DL/TOI/20,6,0,100.000,74.000
Đèn lồng tỏi 10cm,Đèn lồng,DL/TOI/10,6,0,50.000,37.000
Quế sáo,"Đồ Ăn, Thức Uống",QSAO,6,0,100.000,74.000
Đĩa kê cốc CF vàng,Hàng Gốm Sứ,DCF/V,6,0,20.000,15.000
Bộ AC hoả biến xanh các loại,Hàng Gốm Sứ,T/AC/XD/CL,6,0,1.200.000,889.000
Bình na gỗ SM 10cm,Hàng Sơn Mài,SM/BNAG/10,6,0,120.000,89.000
Cắm bút gỗ SM 11cm,Hàng Sơn Mài,SM/CBG/11,6,0,120.000,89.000
Bình chai gỗ SM 20cm,Hàng Sơn Mài,SM/BCG/20,6,0,120.000,89.000
Khoai lang sấy Vinamit 250g,"Đồ Ăn, Thức Uống",8934743022925,6,0,65.000,48.000
Cà phê hòa tan G7 3in1 hộp dẹt 336g/ 21 gói,"Đồ Ăn, Thức Uống",8935024123287,6,0,80.000,59.000
Cà phê hòa tan G7 3in1 50 gói / bịch 800g,"Đồ Ăn, Thức Uống",8935024129357,6,0,190.000,141.000
Trà I Wish You 10 (I Wish You 10 Loose Leaf Tea),"Đồ Ăn, Thức Uống",8938506647394,6,0,200.000,148.000
Đèn lồng tre size L,Đèn lồng,DL/TRE/L,6,0,300.000,222.000
Lọ ly sơn mài 30,Hàng Sơn Mài,SM/LY30,6,0,200.000,148.000
Rượu Lúa Mới 40% 100ml (Hà Nội Opera House),Rượu,8934591007198,5,0,125.000,93.000
Rượu Vodka Hà Nội 40% 100ml (Hoàn Kiếm Lake),Rượu,8934591007181,5,0,125.000,93.000
Rượu Nếp Mới 40% 100ml (Khuê Văn Các ),Rượu,8934591007204,5,0,125.000,93.000
Mẹt F30 vẽ phong cảnh cl,Thủ công mỹ nghệ,TMET3001,5,0,600.000,444.000
Kẹo xoài Úc bóc vỏ Vietthai 255g,"Đồ Ăn, Thức Uống",8936029721980,5,0,35.000,26.000
Cà phê Cộng Bạc xỉu hòa tan 12 Stick,"Đồ Ăn, Thức Uống",8938531133640,5,0,85.000,63.000
Bình Sơn mài ống chỉ,Hàng Sơn Mài,SM/BOCHI,5,0,200.000,148.000
Socola đen Đồng Nai 72% Marou 24g,"Đồ Ăn, Thức Uống",8938505214245,5,0,75.000,56.000
Socola cà phê sữa VN 44% Marou 24g,"Đồ Ăn, Thức Uống",8938505214290,5,0,80.000,59.000
Rượu dâu tằm hoa nhài 100ml,Rượu,8938528985337,5,0,150.000,111.000
Hộp cacao sữa Heyday,"Đồ Ăn, Thức Uống",8938512644417,5,0,105.000,78.000
Tranh sơn mài vuông 15x15,Hàng Sơn Mài,SM/TR/V15,5,0,200.000,148.000
Tranh đĩa tròn Sơn mài cong phi 15,Hàng Sơn Mài,SM/TR/DTC15,5,0,200.000,148.000
bát cơm vẽ sen,Hàng Gốm Sứ,T/BC/SEN,5,0,50.000,37.000
Cà phê Robusta mix Arabica đã xay gói 200g,"Đồ Ăn, Thức Uống",CP/R/A/DX/200G,5,0,140.000,104.000
Bình thọ gỗ vuốt 18cm,Hàng Sơn Mài,SM/BTGV/18,5,0,150.000,111.000
Kẹp sách giấy gió,Thủ công mỹ nghệ,KSGG,5,0,15.000,11.000
Nước hoa Miss Saigon Elegance (màu đỏ) 50ml,Nước Hoa,8934662176204,5,0,720.000,533.000
Đĩa F15 HB sen,Hàng Gốm Sứ,HB/D/F15/S,5,0,150.000,111.000
Khay muối vuông trâu sen,Hàng Gốm Sứ,TS/KHM/V,5,0,40.000,30.000
Bộ AC Giang Tây hỏa biến,Hàng Gốm Sứ,TAC/HB03,5,0,1.200.000,889.000
Cam sơn mài phi 14,Hàng Sơn Mài,SM/CAM14,5,0,160.000,119.000
Trà xanh hoa nhài đóng lọ,"Đồ Ăn, Thức Uống",TRA/HN/LO,5,0,150.000,111.000
HẠT TIÊU ĐỎ,"Đồ Ăn, Thức Uống",HTIEU/DO,5,0,60.000,44.000
Nụ hoa tam thất,"Đồ Ăn, Thức Uống",NU/HTT,5,0,100.000,74.000
Cà phê mix A+C+R gói 200g,"Đồ Ăn, Thức Uống",CP/ACR/200G,5,0,140.000,104.000
Cà phê Moka 500g,"Đồ Ăn, Thức Uống",CP/M/500G,5,0,350.000,259.000
Phin cà phê màu xanh lá phi 7,Phin CF,PCP/XL/7,5,20.000,120.000,89.000
Lót ly sơn mài tròn,Hàng Sơn Mài,SM/LOTLY/TR,5,0,200.000,148.000
Nước hoa Miss Việt Nam N27 Sứ trắng Sài Gòn 35ml,Nước Hoa,8934662133276,5,0,1.300.000,963.000
Nước hoa Miss Việt Nam N29 Sứ trắng Hà Nội 35ml,Nước Hoa,8934662133290,5,0,1.300.000,963.000
Cốc CF vẽ hoa các loại,Hàng Gốm Sứ,ACOCCF04,5,0,80.000,59.000
Nón cỏ bàng vẽ hoa sen thường phi 41,"Nón, Nón treo",NCBVHST/41,5,0,350.000,259.000
Xì gà HANOS - HNC52 ( ống nhôm 1 điếu),"Xì Gà, Thuốc Lá",XIGA/HNC52,5,0,800.000,593.000
Trà cúc túi lọc Cộng (2gr x20),"Đồ Ăn, Thức Uống",CPC/TC/L,5,0,80.000,59.000
cà phê hòa tan cappuccino hazelnut Trung Nguyên legend 216g 12x18g,"Đồ Ăn, Thức Uống",8935024122129,5,0,90.000,67.000
MR.VIET Cà phê Hòa Tan Dừa 255g (MR.VIET Instant Coffee Coconut 255g),"Đồ Ăn, Thức Uống",8936135433401,5,0,120.000,89.000
MR.VIET Good Morning Vietnam - Cà Phê Hạt Rang Túi 250g (GM Vietnam – Roasted Coffee Beans 250g Bag),"Đồ Ăn, Thức Uống",8936135430271,5,0,200.000,148.000
Đèn lồng tre size M,Đèn lồng,DL/TRE/M,5,0,250.000,185.000
Khay tròn gắn trai KT: phi 22,"Khay tre, khảm trai, gỗ",KTGT/22,5,0,170.000,126.000
Khay tròn gắn trai KT: phi 35,"Khay tre, khảm trai, gỗ",KTGT/35,5,0,280.000,207.000
Rượu cà phê 25% 100ml ( Hạ Long Bay),Rượu,8934591007235,4,0,125.000,93.000
Rượu Thanh Mai 25% 100ml (Huế Citadel),Rượu,8934591007228,4,0,125.000,93.000
Rượu dâu 19.5% 250ml,Rượu,8934591008713,4,0,75.000,56.000
Rượu vải 18% 250ml,Rượu,8934591008690,4,0,75.000,56.000
Cà phê hòa tan dừa Mr Việt 510g,"Đồ Ăn, Thức Uống",8936135434170,4,0,230.000,170.000
Túi cói quai xách đính hoa cúc KT 29x39,"Túi xách, Làn, Ví",TCQX/DHC/29x39,4,0,300.000,222.000
Bình củ Huệ sơn mài 15 cm,Hàng Sơn Mài,SM/L/CHUE/15,4,0,150.000,111.000
Socola đen Tiền Giang 70% Marou 24g,"Đồ Ăn, Thức Uống",8938505214443,4,0,75.000,56.000
Socola đen Lâm Đồng 74% Marou 24g,"Đồ Ăn, Thức Uống",8938505214641,4,0,75.000,56.000
Socola đen bến tre 78% Marou 24g,"Đồ Ăn, Thức Uống",8938505214344,4,0,75.000,56.000
Rượu Thanh Long 530ml,Rượu,8938528985405,4,0,370.000,274.000
Rượu táo mèo yên bái 530ml,Rượu,8938528985009,4,0,370.000,274.000
Khoai môn sấy Vinamit 250g,"Đồ Ăn, Thức Uống",8934743022932,4,0,110.000,81.000
