Tên sản phẩm,Loại sản phẩm,Mã SKU,Đơn vị,LC_CN1_Tồn kho ban đầu,LC_CN1_Giá vốn khởi tạo,PL_Giá bán lẻ,PL_Giá nhập
Bộ Ac trâu đào,Hàng Gốm Sứ,AC29/DAO,Bộ,3,0,500.000,0
Cốc Lipton,Hàng Gốm Sứ,CTM01,Cái,3,0,60.000,0
Phin cà phê màu vàng phi 7,Phin CF,PCP/VANG/7,Hộp,3,"14.285,71",120.000,0
Nón Bắc Bộ trơn phi 40,"Nón, Nón treo",NBBT/40,Cái,3,0,80.000,0
Bánh đậu xanh Hòa An hộp 200g,"Đồ Ăn, Thức Uống",8938539983247,Hộp,3,0,30.000,0
Nón dây bọc vải bộ 10 cái,"Nón, Nón treo",NDBV/10,Cái,3,0,600.000,0
Set sổ và bút Việt Nam,Thủ công mỹ nghệ,SET/S+B,Bộ,3,0,100.000,0
Túi xách vuông thổ cẩm KT phi 35cm,"Túi xách, Làn, Ví",TC/TXV/35,Cái,3,0,150.000,0
Trái cây sấy vinamit MP gói 250g,"Đồ Ăn, Thức Uống",8934743022963,Gói,3,0,100.000,0
Cà phê hòa tan cappuccino coconut Trung Nguyên legend 216g 12x18g,"Đồ Ăn, Thức Uống",8935024170403,Hộp,3,0,90.000,0
Bát gáo dừa cô gái đỏ,Hàng Sơn Mài,SM/BGD/GAI/D,Cái,3,0,50.000,0
Đèn lồng tre size S,Đèn lồng,DL/TRE/S,Cái,3,0,200.000,0
Lọ chày sơn mài 30,Hàng Sơn Mài,SM/L/CHAY/30,Cái,3,0,200.000,0
Bát tô F16 hỏa biến sen CL,Hàng Gốm Sứ,HB/BT/F16/SEN,Cái,2,0,250.000,0
"Rượu Gái Mèo 25,5% 375ml",Rượu,8938528985658,Chai,2,0,300.000,0
"Rượu Em Mơ 29,5% 375ml",Rượu,8938528985627,Chai,2,0,300.000,0
Rượu Mùa cốm 28% 530ml,Rượu,8938528985801,Chai,2,0,400.000,0
Đĩa lượn 5 cánh vẽ sen F21,Hàng Gốm Sứ,T/D/5C/SEN/F21,Cái,2,0,180.000,0
Trà hoa nhài lọ,"Đồ Ăn, Thức Uống",TRA/H/LO,Lọ,2,0,60.000,0
Bình Sơn Mài Mang cá mới nhí 18 cm,Hàng Sơn Mài,SM/BMCM/S,Cái,2,0,300.000,0
Bình A Còng 30 cm,Hàng Sơn Mài,BACONG/30,Cái,2,0,600.000,0
Trà cung đình hộp màu đỏ G10,"Đồ Ăn, Thức Uống",TCD/H/DO/G10,Hộp,2,0,200.000,0
Rượu Sông Cái Spiced Roselle Flavored Gin 220ml (45%),Rượu,R/SPICED/220,Chai,2,0,650.000,0
Rượu Sông Cái Spiced Roselle Flavored Gin 700ml (32.5%),Rượu,8938528319064,Chai,2,0,1.800.000,0
Trà cung đình gói màu cam G10 kèm gói KM uống thử,"Đồ Ăn, Thức Uống",8938506776063,Gói,2,0,100.000,0
Nón Huế vẽ cờ đỏ sao vàng phi 40,"Nón, Nón treo",NHVCDSV/40,Cái,2,0,80.000,0
Socola đen Bà Rịa 76% Marou 80g,"Đồ Ăn, Thức Uống",8938505214153,Thanh,2,0,140.000,0
Socola coconut milk Bến Tre 55% Marou 80g,"Đồ Ăn, Thức Uống",8938505214368,Thanh,2,0,170.000,0
Socola đen Đăk Lăk 70% Marou 24g,"Đồ Ăn, Thức Uống",8938505214801,Thanh,2,0,75.000,0
Phin pha cà phê K.H Trung Nguyên,Phin CF,PHINCF/KH/TN,Cái,2,0,120.000,0
cafe hương chồn Wake up 306g,"Đồ Ăn, Thức Uống",8934683007037,Hộp,2,0,70.000,0
Khỉ len chân ngắn,Len,LEN/KCN,Con,2,0,200.000,0
Thỏ len dâu,Len,LEN/TD,Con,2,0,200.000,0
Thỏ ngọc len,Len,LEN/TN,Con,2,0,400.000,0
Móc khóa len Minion,Len,LEN/MKMINION,Cái,2,0,100.000,0
Lọ Tỏi Sơn Mài 25,Hàng Sơn Mài,SM/L/TOI/25,Cái,2,0,200.000,0
Bình Sơn Mài vòi công cỡ lớn 39 cm,Hàng Sơn Mài,SM/BVCONG/L/39,Cái,2,0,380.000,0
Bình Sơn Mài vòi Công cỡ trung 32 cm,Hàng Sơn Mài,SM/BVCONG/M/32,Cái,2,0,350.000,0
Bình Sơn Mài Vòi Công cỡ nhỏ 27 cm,Hàng Sơn Mài,SM/BVCONG/S/27,Cái,2,0,320.000,0
Bình Sơn Mài Giọt Nước 31 cm,Hàng Sơn Mài,SM/BGNUOC/31,Cái,2,0,320.000,0
Bình Sơn Mài Xoăn cỡ lớn,Hàng Sơn Mài,SM/BXOAN/L,Cái,2,0,360.000,0
Bình Phu Thê dẹt cỡ trung,Hàng Sơn Mài,SM/VC/DET/M,Bộ,2,0,360.000,0
Lọ huệ S2 vẽ sen,Hàng Gốm Sứ,ALH251301,Chiếc,2,0,300.000,0
GBA Trà bình minh,"Đồ Ăn, Thức Uống",8935305200782,Hộp,2,0,200.000,0
GBA Trà 54 dân tộc,"Đồ Ăn, Thức Uống",8935305200911,Hộp,2,0,250.000,0
GBA Trà hoa hồng,"Đồ Ăn, Thức Uống",8935305200058,Hộp,2,0,250.000,0
Khay bầu dục gắn trai có quai Kt 20x33,"Khay tre, khảm trai, gỗ",KBDGTCQ/20X33,Cái,2,0,170.000,0
Xoài sấy dẻo Sao Khuê,"Đồ Ăn, Thức Uống",8938510945240,Gói,2,0,50.000,0
Kẹo hải hà Jelly trái cây gói 100g,"Đồ Ăn, Thức Uống",8934595063183,Gói,2,0,20.000,0
Khay chữ nhật gắn trai có quai KT: 36x26,"Khay tre, khảm trai, gỗ",KCNGTCQ/36X26,Cái,2,0,220.000,0
KHAY NAN HCN 13x18 sen,Hàng Gốm Sứ,HB/KH/NAN1318/S,Cái,2,0,250.000,0
Bát tô F20 hỏa biến sen CL,Hàng Gốm Sứ,HB/BT/F20/SEN,Cái,2,0,350.000,0
Bát tô F13-14 hỏa biến sen CL,Hàng Gốm Sứ,HB/BT/F13-14/S,Cái,2,0,160.000,0
Ấm mắm hoả biến sen,Hàng Gốm Sứ,HBHB/AMM/SEN,Cái,2,0,120.000,0
Chó S1 Deco,Hàng Gốm Sứ,THHTT02/S1,Con,2,0,100.000,0
Mèo cá S1,Hàng Gốm Sứ,THHTT01/S1,Con,2,0,130.000,0
Cú lùn S2,Hàng Gốm Sứ,THHTT09/S2,Con,2,0,90.000,0
Cú lùn S1,Hàng Gốm Sứ,THHTT09/S1,Con,2,0,130.000,0
Bộ khố nam thổ cẩm Tây Nguyên,Quần Áo,BK/NAM/TC/TN,Bộ,2,0,1.000.000,0
Áo già làng Tây Nguyên,Quần Áo,AGL/TN,Cái,2,0,1.000.000,0
Bát cơm HB,Hàng Gốm Sứ,HB/BC,Cái,2,0,70.000,0
Đĩa kê ấm của bộ AC TTS siêu hoa,Hàng Gốm Sứ,DIA/TTS/10,Cái,2,0,100.000,0
Trà đinh gói nhỏ 10gr,"Đồ Ăn, Thức Uống",TRA/DB/10GR,Gói,2,0,40.000,0
Làn cói có khóa đính quả bông,"Túi xách, Làn, Ví",LC/K/QB,Cái,2,0,270.000,0
Tranh đĩa F24 vẽ hoa,Hàng Gốm Sứ,ATDF24/05,Cái,2,0,1.500.000,0
Cà phê Trung Tín hộp bột Arabica có phin 250gr,"Đồ Ăn, Thức Uống",580097/P,Hộp,2,0,200.000,0
Lục bình cổ ngắn 1m3 vẽ tứ cảnh vẽ vàng bọc đồng,Hàng Gốm Sứ,BLBV304006BD,Cái,2,0,300.000.000,0
Bộ Ac thờ men kem,Hàng Gốm Sứ,TACHD007,Bộ,2,0,350.000,0
Bộ AC men HB,Hàng Gốm Sứ,AAC088,Bộ,2,0,1.200.000,0
Xì gà Pyramide extra 54,"Xì Gà, Thuốc Lá",8936009053148,Hộp,2,0,6.500.000,0
Xì gà LOTUS S (hộp giấy 25 điếu),"Xì Gà, Thuốc Lá",8936031839154,Hộp,2,0,1.000.000,0
CAPHE ROBUSTA MIX ARABICA GÓI 200G,"Đồ Ăn, Thức Uống",CP/R/A/200G,Gói,2,0,140.000,0
CÀ PHÊ ROBUSTA GÓI 200G,"Đồ Ăn, Thức Uống",CP/R/200G,Gói,2,0,140.000,0
CAPHE ARABICA GÓI 200G,"Đồ Ăn, Thức Uống",CP/A/200G,Gói,2,0,140.000,0
Đĩa bộ ac men gấm cl,Hàng Gốm Sứ,T/AC/GAM/CL_DLE,Cái,2,0,1.200.000,0
Đồ chơi mini,Hàng Gốm Sứ,DOCHOI,Cái,2,0,30.000,0
phin cà phê màu đỏ phi 7,Phin CF,PCP/DO/7,Hộp,2,2.560,120.000,0
Đĩa rẻ quạt HB sen,Hàng Gốm Sứ,HB/D/QUAT/SEN,Cái,2,0,250.000,0
Ba lô thổ cẩm to KT: 30x35,"Túi xách, Làn, Ví",TC/BL/30X35,Cái,2,0,200.000,0
Áo cô màu hồng size M,Quần Áo,AC/H/M,Cái,2,0,2.500.000,0
Cà phê Robusta mix Arabica 500g,"Đồ Ăn, Thức Uống",CP/R/A/500G,Gói,2,0,320.000,0
Làn nhựa quai da cỡ M KT: 25x39,"Túi xách, Làn, Ví",LNQD/M/25-39,Chiếc,2,0,250.000,0
Làn nhựa quai da cỡ trung,"Túi xách, Làn, Ví",LNQD/M,Chiếc,2,62.500,250.000,0
Ly có nắp H24 vẽ các loại,Hàng Gốm Sứ,TCOCTL08,Cái,2,0,400.000,0
"Cốc lúa mạch có nắp,quai",Hàng Gốm Sứ,CLM04,Cái,2,0,100.000,0
Nón cỏ bàng vẽ hoa thường phi 41,"Nón, Nón treo",NCBVHT/41,Cái,2,0,350.000,0
Hoa hòe,"Đồ Ăn, Thức Uống",HHOE,Hộp,2,0,100.000,0
Trà hoa cúc (lọ),"Đồ Ăn, Thức Uống",TRA/HCUC,Lọ,2,0,60.000,0
Hạt tiêu đen,"Đồ Ăn, Thức Uống",HTIEU,Hộp,2,0,60.000,0
Cốc vuốt sen HB,Hàng Gốm Sứ,HB/C/V/SEN,Cái,2,0,90.000,0
Trà xanh Thái Nguyên 100g nhãn xanh 1,"Đồ Ăn, Thức Uống",TRA/100G/X/1,Gói,2,60.000,150.000,0
Khay đựng mứt SM F28,Hàng Sơn Mài,SM/KHM/F28,Cái,2,0,1.000.000,0
Kẹp sách giấy xoắn,Thủ công mỹ nghệ,KSGX,Cái,2,0,30.000,0
Ví thổ cẩm hình cú khoá chuông KT 22x13,"Túi xách, Làn, Ví",TC/VHC,Cái,2,0,100.000,0
Xì gà HANOS - HNC52 (hộp sơn mài 10 điếu/ hộp),"Xì Gà, Thuốc Lá",8936009052578,Hộp,2,0,8.000.000,0
Xì gà Motesco 55 in Lacquer Box (10 điếu/hộp),"Xì Gà, Thuốc Lá",8936009053124,Hộp,2,0,5.500.000,0
MR.VIET Cà phê Hòa Tan 3 trong 1 (MR.VIET 3 in 1 Instant Coffee),"Đồ Ăn, Thức Uống",8936135430226,Gói,2,0,120.000,0
Khay tròn thảm gỗ có quai KT phi 24,"Khay tre, khảm trai, gỗ",KTTGCQ/24,Cái,2,0,160.000,0
Bộ AC TTS siêu hoa,Hàng Gốm Sứ,TTS10,Bộ,2,0,2.000.000,0
BỘ AC TTS SEN CÁ NỔI,Hàng Gốm Sứ,TTS/SC,Bộ,2,0,2.000.000,0
Tranh đĩa sen tròn SM cong phi 20,Hàng Sơn Mài,SM/TR/DSTC20,Cái,2,0,300.000,0
Khay tre tròn KT: phi 35 x 5cm,"Khay tre, khảm trai, gỗ",KTT/35X5,Cái,2,0,250.000,0
Khay tròn gắn trai có quai KT phi 24cm,"Khay tre, khảm trai, gỗ",KTGTCQ/24,Cái,2,0,220.000,0
Khay tròn gắn trai có quai KT: phi 28cm,"Khay tre, khảm trai, gỗ",KTGTCQ/28,Cái,2,0,250.000,0
Bình A còng SM 22 cm,Hàng Sơn Mài,BACONG/22,Cái,2,0,500.000,0
Cược vỏ Heineken + 24 vỏ chai,"Đồ Ăn, Thức Uống",C/K,Vỏ,1,0,60.000,0
Chó len chân ngắn,Len,LEN/CCN,Con,1,0,200.000,0
Thỏ len váy thêu hoa,Len,LEN/TVTH,Con,1,0,200.000,0
Ngựa len pony sừng ngũ sắc,Len,LEN/NPONYSNS,Con,1,0,300.000,0
Thỏ len váy cầu vồng búp bê,Len,LEN/TVCVBB,Con,1,0,200.000,0
Kẹo xốp TARO khoai môn Hải Hà 70g,"Đồ Ăn, Thức Uống",8934595060779,Gói,1,0,10.000,0
Kẹo dẻo xoài vàng bóc vỏ Vietthai 255g,"Đồ Ăn, Thức Uống",8936029721843,Gói,1,0,35.000,0
Cà phê Cộng sữa hòa tan 12 Stick,"Đồ Ăn, Thức Uống",8938531133633,Hộp,1,0,70.000,0
Bình Sơn mài mang cá lỗ Lớn 34 cm,Hàng Sơn Mài,SM/BMCLL/L,Cái,1,0,500.000,0
Bình Sơn mài mang cá lỗ Trung 27 cm,Hàng Sơn Mài,SM/BMCLT/M,Cái,1,0,420.000,0
Thỏ len yếm nam size to,Len,LEN/TYN/TR,Con,1,0,300.000,0
Rượu Sông Cái Dry Gin 220ml (45%),Rượu,R/DRYGIN220,Chai,1,0,525.000,0
Rượu Sông Cái Floral Gin 220ml (45%),Rượu,8938528319996,Chai,1,0,600.000,0
Trà cung đình gói màu đỏ G10 kèm gói nhỏ KM uống thử,"Đồ Ăn, Thức Uống",89338506776032,Gói,1,0,100.000,0
Đĩa muối vẽ hoa cl,Hàng Gốm Sứ,ADM03,Cái,1,0,30.000,0
Bình A còng 17 cm,Hàng Sơn Mài,BACONG/17,Cái,1,0,450.000,0
Bình Sơn Mài Vầng Trăng đại,Hàng Sơn Mài,SM/BVTRANG/L,Cái,1,0,400.000,0
Socola đen Tiền Giang 70% Marou 80g,"Đồ Ăn, Thức Uống",8938505214436,Thanh,1,0,140.000,0
Socola cà phê sữa 44% Marou 80g,"Đồ Ăn, Thức Uống",8938505214283,thanh,1,0,155.000,0
Socola trắng Việt NamVanilla44% Marou 80g,"Đồ Ăn, Thức Uống",8938551295137,Thanh,1,0,155.000,0
Tranh đĩa tròn sơn mài phi 45,Hàng Sơn Mài,SM/TR/DTR/45,Cái,1,0,950.000,0
Tranh đĩa tròn sơn mài Phố Cổ phi 45,Hàng Sơn Mài,SM/TR/DTRPCO/45,Cái,1,0,950.000,0
Bộ ấm pha trà thủy tinh gồm bếp và ấm (không chén),"Giá Kệ, Công cụ, Dụng Cụ",BAPT/TT/BA,Cái,1,0,500.000,0
Tranh đĩa tròn sơn mài PICATSO cong phi 20,Hàng Sơn Mài,SM/TR/DTCPICATSO/20,Cái,1,0,250.000,0
Bình sơn mài mang cá vầng trăng (26 cm),Hàng Sơn Mài,SM/MCVTRANG,Cái,1,0,450.000,0
Bình sơn mài xoăn cỡ nhỏ,Hàng Sơn Mài,SM/BXOAN/S,Cái,1,0,300.000,0
Cafe Wake up Sài Gòn 456g,"Đồ Ăn, Thức Uống",8934683007044,Gói,1,0,70.000,0
Khay mây thảm trai Seal hình vuông KT 22,"Khay tre, khảm trai, gỗ",KMTT/V/SEAL/22,Cái,1,0,190.000,0
Khay mây thảm trai Seal hình chữ nhật KT22x11,"Khay tre, khảm trai, gỗ",KM/HCN/S22X11,Cái,1,0,150.000,0
Khay mây thảm trai hình bầu dục KT 23X33,"Khay tre, khảm trai, gỗ",KMTTHBD/23X33,Cái,1,0,180.000,0
Khay mây thảm trai hình bầu dục KT 20X30,"Khay tre, khảm trai, gỗ",KMTTHBD/20X30,Cái,1,0,170.000,0
Khay mây thảm trai hình bầu dục KT 17X27,"Khay tre, khảm trai, gỗ",KMTTHBD/17X27,Cái,1,0,160.000,0
Khay gắn trai hình chữ nhật KT 15x25,"Khay tre, khảm trai, gỗ",KGTHCN/15x25,Cái,1,0,220.000,0
Mèo len chân ngắn,Len,LEN/MCN,Con,1,0,200.000,0
Pikachu len,Len,LEN/PIKACHU,Con,1,0,220.000,0
Búp bê len bạch tuyết,Len,LEN/BBBT,Con,1,0,350.000,0
Hươu sọc len size to,Len,LEN/HS/T,Con,1,0,300.000,0
Sư tử len không đeo cờ,Len,LEN/STKDC,Con,1,0,200.000,0
Móc khóa len Picachu 1 sợi cao cấp,Len,LEN/MKP1SCC,Cái,1,0,100.000,0
Bình Sơn Mài vòi thẳng cỡ lớn 32 c,Hàng Sơn Mài,SM/BVT/L/32,Cái,1,0,400.000,0
Bình Sơn Mài vòi thẳng cỡ nhỏ 26 cm,Hàng Sơn Mài,SM/BVT/S/26,Cái,1,0,300.000,0
Bình Phu Thê nhỏ bụng bầu (Cao 19 cm),Hàng Sơn Mài,SM/VC/BB/S,Bộ,1,0,500.000,0
Bát tô F18 vẽ hoa CL,Hàng Gốm Sứ,AB18/01,Cái,1,0,150.000,0
GBA trà người phụ nữ nghị lực,"Đồ Ăn, Thức Uống",8935305200874,Hộp,1,0,220.000,0
GBA Trà sáng tạo,"Đồ Ăn, Thức Uống",8935305200041,Hộp,1,0,210.000,0
GBA trà gạo lứt huyết rồng thao thủ công,"Đồ Ăn, Thức Uống",8935305201079,Hộp,1,0,200.000,0
GBA Trà hoa cúc,"Đồ Ăn, Thức Uống",8935305200836,Hộp,1,0,250.000,0
Quế sáo gói,"Đồ Ăn, Thức Uống",QS/G,Gói,1,0,50.000,0
Bảo bình vẽ cửu long quần tụ vẽ vàng,Hàng Gốm Sứ,BLBBV14767007,Cái,1,0,350.000.000,0
Mèo S2,Hàng Gốm Sứ,THHTT04/S2,Con,1,0,70.000,0
Mèo S1,Hàng Gốm Sứ,THHTT04/S1,Con,1,0,120.000,0
Chó tai cụp S3,Hàng Gốm Sứ,THHTT12/S3,Cái,1,0,50.000,0
Đĩa lá hỏa biến sen,Hàng Gốm Sứ,HB/D/LA/SEN,Cái,1,0,250.000,0
Bát tô F18 hỏa biến sen CL,Hàng Gốm Sứ,HB/BT/F18/SEN,Cái,1,0,350.000,0
Gạt tàn tròn HB sen CL,Hàng Gốm Sứ,HB/GT/TR/SEN,Cái,1,0,150.000,0
Đĩa hoa hỏa biến 6 cánh sen,Hàng Gốm Sứ,HB/6C/SEN,Cái,1,0,70.000,0
Mèo cá S2,Hàng Gốm Sứ,THHTT01/S2,Con,1,0,90.000,0
Chó tai cụp S2,Hàng Gốm Sứ,THHTT12/S2,Con,1,0,70.000,0
Chó tai cụp S1,Hàng Gốm Sứ,THHTT12/S1,Con,1,0,130.000,0
Ngựa S2,Hàng Gốm Sứ,THHTT13/S2,Con,1,0,100.000,0
Ngựa S1,Hàng Gốm Sứ,THHTT13/S1,Con,1,0,150.000,0
Bộ trang phục nhung đen nữ Tây Nguyên,Quần Áo,BTP/ND/NU/TN,Bộ,1,0,1.000.000,0
Bộ trang phục quấn nữ Tây Nguyên,Quần Áo,BTP/Q/NU/TN,Bộ,1,0,1.000.000,0
Kẹo Hải Hà cứng nhân Socola gói 90g,"Đồ Ăn, Thức Uống",8934595020957,Gói,1,0,10.000,0
Lọ chè phong cảnh HN vẽ vàng,Hàng Gốm Sứ,ALCV01,Cái,1,0,3.000.000,0
Đĩa F24 trâu sen,Hàng Gốm Sứ,TS/D/F24,Cái,1,0,220.000,0
Ấm của bộ AC TTS siêu hoa,Hàng Gốm Sứ,AM/TTS/10,Cái,1,0,900.000,0
Trà xanh shan tuyết A mềnh 4 sao gói 200g,"Đồ Ăn, Thức Uống",8938530964122,Gói,1,0,200.000,0
Bình trà trâu sen,Hàng Gốm Sứ,TS/TRA,Cái,1,0,200.000,0
Mật ong bạc hà,"Đồ Ăn, Thức Uống",MOBH,Lọ,1,0,180.000,0
Cốc CF cao nắp màu,Hàng Gốm Sứ,CFTM02/H,Cái,1,0,120.000,0
ĐỐT TRẦM CÁC LOẠI,Hàng Gốm Sứ,TDTRAMTL01,Cái,1,0,80.000,0
Bộ AC HB khay tròn miệng nhún,Hàng Gốm Sứ,ACHB/KH/TR,Bộ,1,0,1.200.000,0
Khay tre có quai,"Khay tre, khảm trai, gỗ",KTCQ,Cái,1,0,150.000,0
Khay vuông gắn trai KT: 26cm,"Khay tre, khảm trai, gỗ",KVGT/26,Cái,1,0,210.000,0
Trà xanh shan tuyết A mềnh 3 sao gói 200g,"Đồ Ăn, Thức Uống",8938530964139,Gói,1,0,100.000,0
khay bầu dục gắn trai có quai KT: 20x30,"Khay tre, khảm trai, gỗ",KBDCQ/20X30,Cái,1,0,170.000,0
Khay tròn gắn trai xếp xoắn F24 cm,"Khay tre, khảm trai, gỗ",KTGTXX/24,Cái,1,0,220.000,0
Cốc lọc cà phê méo,Hàng Gốm Sứ,CFTM06,Cái,1,0,130.000,0
Xì gà Vinaboss's Pyramide 52 (hộp gỗ vàng 10 điếu),"Xì Gà, Thuốc Lá",8936009053131,Hộp,1,0,5.500.000,0
XÌ GÀ VINABOSS 60 ROBUSTO SUPERMO,"Xì Gà, Thuốc Lá",8936009053155,Hộp,1,0,6.500.000,0
Xì gà HANOS - HNC 56 (hộp sợn mài 10 điếu),"Xì Gà, Thuốc Lá",8936009052615,Hộp,1,0,9.000.000,0
LỌ LY SM F20,Hàng Sơn Mài,SM/LY20,Lọ,1,0,150.000,0
Khay vuông gỗ màu nâu KT: 20x20,"Khay tre, khảm trai, gỗ",KVG/N/20X20,Cái,1,0,150.000,0
Set AC và hộp trà vuốt tay,Hàng Gốm Sứ,TDCAC01,Bộ,1,0,3.000.000,0
"BỘ ẤM TÍCH 0,75L MEN ĐÁ",Hàng Gốm Sứ,T/TICH/0.75L/MD,Bộ,1,0,700.000,0
Trà hoa nhài,"Đồ Ăn, Thức Uống",TRA/HN,Gói,1,0,60.000,0
Làn cói to có dây trang trí KT: 38x30x12,"Túi xách, Làn, Ví",MY/LAN/01,Chiếc,1,0,170.000,0
Tỏi miệng loe s3 vẽ hoa dây v.v,Hàng Gốm Sứ,ATMLV44320019,Cái,1,0,50.000.000,0
Vò thử men,Hàng Gốm Sứ,VTM01,Cái,1,0,1.000.000,0
Nụ tam thất,"Đồ Ăn, Thức Uống",NU/TTHAT,Gói,1,0,200.000,0
Trà Hồng Trà Sin Suối Hồ 100g,"Đồ Ăn, Thức Uống",8936095572417,Lọ,1,0,150.000,0
Táo đỏ,"Đồ Ăn, Thức Uống",TAODO,Gói,1,0,70.000,0
Trà Hồng trà gói hút chân không 100g,"Đồ Ăn, Thức Uống",8936095576538,Gói,1,0,200.000,0
Hộp đựng bánh kẹo SM F15,Hàng Sơn Mài,SM/BMK/F15,Hộp,1,0,1.000.000,0
Bình thọ gỗ SM 14cm,Hàng Sơn Mài,SM/BTG/14,Cái,1,0,100.000,0
Khay mây tre đựng bánh kẹo có nắp KT: F30x9,"Khay tre, khảm trai, gỗ",MY/KH/F30,Cái,1,0,400.000,0
Túi có quai xách đính hoa cúc KT: 29x39,"Túi xách, Làn, Ví",MY/TUI/03,Cái,1,0,300.000,0
Túi cói đeo vai miệng tim KT: 20x32,"Túi xách, Làn, Ví",TCDMT,Cái,1,0,250.000,0
Túi cói quai da đeo vai,"Túi xách, Làn, Ví",TCQDDV,Cái,1,0,250.000,0
Túi cói quai xách đính hoa KT: 26x20,"Túi xách, Làn, Ví",TCQXDH/26x20,Cái,1,0,200.000,0
Túi cói vỏ sò,"Túi xách, Làn, Ví",TCVS,Cái,1,0,180.000,0
Túi cói xách đeo vai buộc nơ KT: 24x 30,"Túi xách, Làn, Ví",TTCXDVBN,Cái,1,0,250.000,0
Túi thổ cẩm to KT: 40x45,"Túi xách, Làn, Ví",VA/T05,Cái,1,0,250.000,0
Túi xách thổ cẩm quai xách KT: 15x22,"Túi xách, Làn, Ví",KKT/12.12.23,Cái,1,0,200.000,0
Ví lụa thêu hoa cầm tay 26x6,"Túi xách, Làn, Ví",TC/VLTH,Cái,1,0,200.000,0
Ví thổ cẩm các loại,"Túi xách, Làn, Ví",KKV/12.12.23,Cái,1,0,120.000,0
Cà phê phin giấy Tự Do,"Đồ Ăn, Thức Uống",CPC/CF/TD/F,Hộp,1,0,140.000,0
Trà gừng túi lọc Cộng (2gr x 20),"Đồ Ăn, Thức Uống",CPC/TG/L,Hộp,1,0,100.000,0
Lọ chè decan p/cảnh HN,Hàng Gốm Sứ,ALC03,Cái,1,0,500.000,0
MR.VIET Xoài Sấy Chín Mọng & Dẻo Ngọt (MR.VIET Dried Mango Ripe & Sweet),"Đồ Ăn, Thức Uống",8936135431650,Gói,1,0,100.000,0
MR.VIET Cà Phê Hòa Tan Capuccino 4 trong 1 (MR.VIET 4 in1 Instant Coffee Cappuccino),"Đồ Ăn, Thức Uống",8936135430233,Hộp,1,0,120.000,0
MR.VIET Moka - Cà Phê Rang Xay Túi 250g (MR.VIET Moka - Ground Coffee 250g Bag),"Đồ Ăn, Thức Uống",8936135431797,Gói,1,0,210.000,0
MR.VIET Culi - Cà Phê Rang Xay Túi 250g (MR.VIET Culi - Ground Coffee 250g Bag),"Đồ Ăn, Thức Uống",8936135431780,Gói,1,0,160.000,0
Đĩa vuông sơn mài cô gái xanh cốm size M,Hàng Sơn Mài,SM/DV/XC/G/M,Cái,1,0,110.000,0
Đĩa vuông sơn mài cô gái xanh cốm size S,Hàng Sơn Mài,SM/DV/XC/G/S,Cái,1,0,100.000,0
Đĩa vuông sơn mài hình Gà size S,Hàng Sơn Mài,SM/D/V/GA/S,Cái,1,0,100.000,0
Tranh sơn mài vuông 30x30,Hàng Sơn Mài,SM/TR/V30,Cái,1,0,350.000,0
Bình trứng hỏa biến,Hàng Gốm Sứ,HB/EGG,Cái,1,0,500.000,0
"Bình quả dưa HB (thấp, miệng rộng)",Hàng Gốm Sứ,HB/B/DUA.2,Cái,1,0,400.000,0
"Bình quả dưa HB (cao, miệng nhỏ)",Hàng Gốm Sứ,HB/B/DUA.1,Cái,1,0,600.000,0
Đôi cá chép men hỏa biến,Hàng Gốm Sứ,HB/CA1,Cái,1,0,600.000,0
Vò hoa nổi các màu,Hàng Gốm Sứ,AV1720002,Cái,1,0,1.000.000,0
Vò S2 hoa nổi,Hàng Gốm Sứ,AV251908,Cái,1,0,1.000.000,0
Hộp trà TTS,Hàng Gốm Sứ,TTS/TRA,Cái,1,0,200.000,0
Lọc chè TTS,Hàng Gốm Sứ,TTS/LC,Cái,1,0,200.000,0
LỌC CHÈ TTS CÁ NỔI,Hàng Gốm Sứ,TTS/LC/CA,Cái,1,0,200.000,0
LỌ TĂM TTS CÁ NỔI,Hàng Gốm Sứ,TTS/TAM/CA,Cái,1,0,150.000,0
Bộ AC TTS GT lùn,Hàng Gốm Sứ,TTS/GTAY,Bộ,1,0,1.800.000,0
Nón Bắc Bộ trơn trẻ em,"Nón, Nón treo",NBBTTE,Cái,1,0,60.000,0
Đĩa vuông sơn mài hình Gà size M,Hàng Sơn Mài,SM/D/V/GA/M,Cái,1,0,110.000,0
Đĩa vuông sơn mài hình Gà size L,Hàng Sơn Mài,SM/D/V/GA/L,Cái,1,0,120.000,0
Đĩa vuông sơn mài Đồng quê size M,Hàng Sơn Mài,SM/D/V/DQ/M,Cái,1,0,110.000,0
Đĩa vuông sơn mài Đồng quê size L,Hàng Sơn Mài,SM/D/V/DQ/L,Cái,1,0,120.000,0
Khay chữ nhật gắn trai KT: 22x33,"Khay tre, khảm trai, gỗ",KCNGT/22X33,Cái,1,0,200.000,0
Khay vuông gắn trai KT: 25cm,"Khay tre, khảm trai, gỗ",KVGT/25,Cái,1,0,200.000,0
Khay vuông gắn trai KT: 29cm,"Khay tre, khảm trai, gỗ",KVGT/29,Cái,1,0,220.000,0
Khay tròn gắn trai có quai KT: phi 22cm,"Khay tre, khảm trai, gỗ",KTGTCQ/22,Cái,1,0,180.000,0
Bộ AC đỏ son sen vàng,Hàng Gốm Sứ,TACHL031,Bộ,1,0,500.000,0
