Tên sản phẩm,Loại sản phẩm,Mã SKU,Đơn vị,LC_CN1_Tồn kho ban đầu,LC_CN1_Giá vốn khởi tạo,PL_Giá bán lẻ,PL_Giá nhập
MR.VIET Robusta - Cà Phê Rang Xay Túi 250g (MR.VIET Robusta - Ground Coffee 250g Bag),"Đồ Ăn, Thức Uống",8936135431773,Gói,23,0,160.000,0
Hà Nội bia 330ml (lon lẻ),"Đồ Ăn, Thức Uống",8936000440039,Lon,22,0,15.000,0
Móc khóa len thỏ cờ,Len,LEN/MKTC,Cái,22,0,60.000,0
Trà xanh hoa nhài,"Đồ Ăn, Thức Uống",TRA/XHN,Gói,22,0,120.000,0
Nấm đông trùng (GÓI),"Đồ Ăn, Thức Uống",NAM/DT,Gói,22,0,80.000,0
Chuông gió nhỏ,Hàng Gốm Sứ,CG01,Cái,22,0,100.000,0
Phin cà phê F7 đã in logo Thống Nhất,Phin CF,PCP/7/I/TN,Cái,22,0,70.000,0
Hạt điều lọ 500g,"Đồ Ăn, Thức Uống",H/DIEU/500G,Hộp,22,0,125.000,0
Cam Sơn mài phi 8,Hàng Sơn Mài,SM/CAM8,Cái,22,0,80.000,0
MẸT F20 VẼ PHONG CẢNH CL,Thủ công mỹ nghệ,TMET2001,Cái,22,0,400.000,0
Sài gòn bia 330ml (lon lẻ),"Đồ Ăn, Thức Uống",8935012413321,Lon,21,0,15.000,0
Sổ ảnh Notebook,Thủ công mỹ nghệ,KG06,Cái,21,0,30.000,0
Rượu Hồng Liên 100ml,Rượu,8938528985962,Chai,21,0,150.000,0
Khay muối vuông HB sen,Hàng Gốm Sứ,HB/KHM/V/SEN,Cái,21,0,40.000,0
Cốc bút SM,Hàng Sơn Mài,SM/CB,Cái,21,0,100.000,0
Cốc cao men HB,Hàng Gốm Sứ,ACOCC002,Cái,21,0,60.000,0
Cốc CF màu (nhỡ),Hàng Gốm Sứ,CFTM07,Cái,21,0,60.000,0
Quýt sơn mài phi 10,Hàng Sơn Mài,SM/QUYT10,Cái,21,0,150.000,0
Hộp trang sức SM hình chữ nhật KT 8x12,Hàng Sơn Mài,SM/HTS/8x12,Cái,21,0,250.000,0
Rượu em mơ 100ml,Rượu,8938528985023,Chai,20,0,150.000,0
Thước len rùa 1,Len,LEN/TR1,Cái,20,0,50.000,0
ĐŨA DỪA DỌC,Đũa,DUA/D/D,Đôi,20,0,6.000,0
Lọ chày sơn mài 20,Hàng Sơn Mài,SM/L/CHAY/20,Lọ,20,0,100.000,0
