Tên sản phẩm;LC_CN1_Tồn kho ban đầu;LC_CN1_Giá vốn khởi tạo;PL_Giá bán lẻ;PL_Giá nhập
Bút chì bấm TL-PC023 hộp 10;2;2.520;6.000;2.400
TDC-Sách nam châm Pochaco-120 SNC-07;2;16.081,818;39.000;16.000
Son thỏi bóng dưỡng môi 3CE Coldset (Đỏ mận);2;245.000;365.000;245.000
Son thỏi bóng dưỡng môi 3CE Rain or Shine (Pha lê hồng);0;245.000;365.000;245.000
Son thỏi bóng dưỡng môi 3CE Lilac Glaze (Hồng đinh hương);3;255.000;365.000;260.000
Son thỏi bóng dưỡng môi 3CE Softest (Hồng baby);1;252.500;365.000;260.000
Son thỏi bóng dưỡng môi 3CE Milky Shadow (Hồng pha nâu trà);1;245.000;365.000;245.000
Son thỏi bóng dưỡng môi 3CE Opal Shower (Hồng trong trẻo);0;260.000;365.000;260.000
Son thỏi bóng dưỡng môi 3CE Nectar (Đỏ nâu rượu);1;252.500;365.000;260.000
Son thỏi 3CE Salty Cinamon (Nâu gạch);1;280.000;395.000;280.000
Son tint 3CE Lazy Pop Lip Stain - Tan (Nâu đỏ ấm);0;228.000;345.000;228.000
Son tint 3CE Lazy Pop Lip Stain - Spiced Up (Đỏ mận);0;228.000;345.000;228.000
Son tint 3CE Lazy Pop Lip Stain - Luztic (Đỏ ấm anh đào);0;228.000;345.000;228.000
Son tint 3CE Lazy Pop Lip Stain - Coolest (Đỏ hồng);0;228.000;345.000;228.000
Son tint 3CE Lazy Pop Lip Stain - Yay or Nay (Đỏ cam sáng);0;228.000;345.000;228.000
Phấn má hồng vuông 3CE vuông - Youth Pink (Hồng phấn);0;257.000;379.000;257.000
Phấn má hồng vuông 3CE vuông - Slide Slowly (Hồng cam đào);0;257.000;379.000;257.000
Phấn má hồng tròn 3CE Mood Recipe - City Mauve (Hồng hoa cà);3;244.000;345.000;245.000
Phấn má hồng tròn 3CE Mood Recipe - Nude Peach (Cam nude);1;206.500;345.000;185.000
Phấn má hồng tròn 3CE Mood Recipe - Mono Pink (Hồng đất nhẹ);1;244.000;345.000;245.000
Phấn má hồng tròn 3CE Mood Recipe - Rose Beige (Hồng đất đậm pha ánh cam);0;245.000;345.000;245.000
Phấn phủ Fit Me Compact 109 Maybelline;5;127.000;189.000;127.000
Kem nền Maybelline Super Stay nắp tím tone 115;6;208.888,889;295.000;209.000
Kem nền Maybelline Super Stay nắp tím tone 110;5;209.833,333;295.000;209.000
Judydoll Phấn tạo khối 4 ô tone 01;1;175.000;245.000;175.000
Xịt khóa nền nhũ 3CE 95ml;1;230.000;345.000;230.000
Baby three 400% V2 Auth;0;536.666,667;699.000;530.000
Vòng tay charm ngọc;2;17.000;39.000;17.000
Móc khoá 3 màu lông;0;14.000;29.000;14.000
Vòng cổ cute;2;16.000;39.000;16.000
nước hoa hồng muji moisture 300ml;1;180.000;279.000;170.000
Bút chì gỗ tiệp nâu đẹp 3B - (EU) 1500;43;9.000;19.000;9.000
TDC khỉ nhào lộn 825;4;25.480;59.000;26.000
TDC set 8 xe poli 660;1;118.580;219.000;121.000
TDC cốp trang điểm M611;2;176.000;299.000;176.000
TDC hộp quà kuromi 40.;0;28.420;69.000;29.000
TDC Hộp quà bất ngờ kuromi 2016-261;1;133.650;249.000;135.000
TDC két sắt vân tay mario 207-21;0;135.240;255.000;138.000
TDC đồng hồ hình chiếu Koromi ZL8531;0;26.460;59.000;27.000
TDC Đồng hồ âm nhạc người nhện ZL8259;1;26.458,648;59.000;27.000
TDC Đồng hồ âm nhạc đội trưởng mỹ ZL8528.;2;26.566,918;59.000;27.000
TDC Xe taxi-54 9901;1;64.680;119.000;66.000
TDC Bộ máy vệ sinh nhà 398-8;0;264.600;445.000;270.000
TDC Con quay spiner thú nuôi FXB-18;3;26.950;59.000;27.500
TDC Két sắt mini babythree N72-26;1;26.812,5;65.000;27.500
TDC máy gắp thú kuromi-24 Q809;0;184.230,59;325.000;188.000
TDC - Hộp mù 30 ct kuromi-60;0;2.296,14;7.000;2.343
TDC Xe đẩy capybara-48 188-571;1;108.900;199.000;110.000
TDC Xe đẩy chó cưng-24 MC-1074;2;133.000;235.000;133.000
TDC Xe đẩy mèo cưng-24 MC-1076;1;133.000;239.000;133.000
TDC Xe đẩy thỏ cưng-24 MC-1075;2;133.000;239.000;133.000
TDC May vá hồng -72 81315;1;51.940;99.000;53.000
TDC May vá tím 72- 81316;0;51.940;99.000;53.000
TDC May vá xanh lá -72- 81318;1;51.940;99.000;53.000
TDC May vá cam 72-81317;1;51.940;99.000;53.000
TDC Máy ảnh kuromi kèm thẻ 16G FFQ-01 tím;0;188.175;345.000;193.000
TDC Máy ảnh mellody kèm thẻ 16G FFQ-02 hồng;0;193.000;345.000;193.000
TDC-Đập trứng Baby three-72 9001-10;4;48.020,944;99.000;49.000
TDC-Đàn Piano nhỏ-72 8860B;1;73.312,5;139.000;75.000
TDC-Hộp mù Cry baby-60 KO-8633;0;12.576,34;29.000;12.833
TDC- Ong Dancer 373-67A;0;68.000;129.000;68.000
TDC-Gắp thú Labubu-24 Q810;0;185.501,537;325.000;188.000
TDC- Móc khoá baby three-60 QQY-03;0;3.388,84;10.000;3.458
TDC-Quầy tráng miệng Kuromi-48 2016-261;0;62.720;119.000;64.000
Bánh xốp kem bò socola;0;27.000;79.000;45.000
TDC- Lego robot biến hình-80 BB305;0;135.240;245.000;138.000
TDC- Đập trứng vàng Kuromi-72.N 9001-2;1;48.023,207;99.000;49.000
TDC- đập trứng vàng Capybara-72.N 9001-6;0;48.019,436;99.000;49.000
TDC- Hộp quà 86pcs Labubu-24 JR11;3;161.425;279.000;165.000
TDC - Hộp quà 31pcs Capybara-36 ST-46;1;140.760;259.000;144.000
TDC- Trang điểm lâu đài BH636;1;293.000;399.000;293.000
kẹo socola đậu phộng;0;40.000;75.000;40.000
Socola nama tươi gói;0;57.000;95.000;57.000
Bánh Choby wi vị sữa chua;0;35.000;65.000;35.000
Bánh Choby wi vị socola;0;35.000;65.000;35.000
Kẹo nga tím knopkht 1kg;0;85.000;149.000;85.000
kẹo socola mix vị lâu đài;0;45.000;85.000;45.000
Túi tiết kiệm;0;35.000;69.000;35.000
Tài lộc tiết kiệm;0;37.000;69.000;37.000
Capybara tiết kiệm;0;35.000;69.000;35.000
Mũm mĩm tiết kiệm;0;36.000;69.000;36.000
Dưa hấu tiết kiệm;0;23.000;49.000;23.000
Cừu tiết kiệm;0;35.000;69.000;35.000
Phê tiết kiệm;0;35.000;69.000;35.000
Labubu tiết kiệm;1;50.000;89.000;50.000
Móc khoá cục bông chân dài đội mũ;4;18.000;39.000;18.000
Scrunchies tone nâu;1;16.000;35.000;16.000
Dây charm treo điện thoại;-1;9.000;23.000;9.000
Nến thơm handmade;0;12.000;26.000;12.000
Lố 10 nến thơm;0;5.600;15.000;5.600
Kem hăm Desitin tím - tuýp nhỏ 57g;0;0;159.000;90.000
Bộ DIY sticker trang điểm;0;25.000;55.000;25.000
Bờm gắn charm tiểu thư;0;16.500;35.000;16.500
Bờm lông trơn toon pastel;0;8.200;19.000;8.200
Bờm gấu tim hồng;0;24.000;49.000;24.000
Kẹp tóc hoa mẫu đơn;4;10.500;19.000;10.500
Set móng giả Sanrio;0;11.000;25.000;11.000
Washi vintage tiểu thư;1;13.500;29.000;13.500
Nến dâu tây;1;8.500;19.000;8.500
Túi bút gấu thỏ bông;0;46.000;89.000;46.000
Túi bút lông gấu thỏ;0;34.000;69.000;34.000
Móc khoá bông thỏ nông thôn;3;43.333;79.000;43.333
Hộp tiết kiệm ngôi nhà bé thỏ;2;60.000;109.000;60.000
Hộp tiết kiệm ngôi nhà toon pastel;0;57.000;109.000;57.000
Diy kẹp tóc cục bông mắt lồi;7;10.833;25.000;10.833
Baby Three cổ tích auth;0;216.000;299.000;216.000
Bảng phấn mắt đa năng Lemonade Aesthetic Multi-task Palette 10.8g - tone 3 Smokey Pink;0;197.000;299.000;197.000
Bảng phấn mắt đa năng Lemonade Aesthetic Multi-task Palette 10.8g - tone 2 Warm Peach;1;197.000;299.000;197.000
Bảng phấn mắt đa năng Lemonade Aesthetic Multi-task Palette 10.8g - tone 1 Cool Rose;0;197.000;299.000;197.000
Đồng hồ chiếu 24 hình-360 Melody;0;0;59.000;26.400
Đồng hồ chiếu hình-360 Hello Kitty;0;26.460;59.000;27.000
Đồng hồ âm nhạc-360 Cinamoroll;3;26.593,986;59.000;27.000
Đồng hồ âm nhạc-360 Doraemon;2;26.458,65;59.000;27.000
Cào nhung đen gắn charm;-1;19.500;39.000;19.500
Bờm tone nâu kem;0;19.000;39.000;19.000
Móng giả tone nhẹ nhàng;0;12.500;28.000;12.500
Nail box hoạt hình;0;15.000;35.000;15.000
Slime xô hương hoa quả 230gr;0;19.000;39.000;19.000
Hộp thiếc nắp trong in hình / nắp lẫy cute;1;19.500;39.000;19.500
Hộp thiếc đựng phụ kiện cute;0;17.500;39.000;17.500
Set st dán phản quang;1;12.000;25.000;12.000
Set st nhà 3D;1;7.800;19.000;7.800
Set 4t sticker bé gái 4 tone;0;8.500;19.000;8.500
Set 2 sticker puppy;0;9.200;19.000;9.200
Set 50 tạp chí tone hồng;0;9.500;23.000;9.500
Sổ st AKI diy thời trang;0;7.500;19.000;7.500
Sổ collect book a5 20 tờ;8;17.500;39.000;17.500
Tote vải canvas in baby three;6;25.000;55.000;25.000
Túi zip charm mix nhũ kèm lục lạc;3;7.500;19.000;7.500
Set 3 khuyên tai chuôi bạc S925;4;14.500;29.000;14.500
Baby Three Rabbit Town Auth;0;341.667;399.000;341.667
Ô mai mix;0;37.000;69.000;37.000
Khoai sấy;0;25.461,539;49.000;25.000
Bánh chấm Origo;47;10.834;19.000;10.834
Giấy gói quà loại đẹp;2;5.704;9.000;5.704
Móc treo điện thoại hạt cườm;1;36.000;69.000;36.000
vòng tay hạt charm pastel;3;16.500;35.000;16.500
vòng đầu mèo ngọc trắng;0;11.000;25.000;11.000
vòng đan dây charm ngọc hình hoa 2 màu;0;11.000;25.000;11.000
Vòng tay charm hello kitty;0;11.000;25.000;11.000
Vòng tay charm bướm;0;10.000;23.000;10.000
Vòng tay charm chân mèo;0;10.000;23.000;10.000
vòng tay sao biển sứ;0;10.500;24.000;10.500
Vòng tay đan dây đầu lân bạc;2;8.000;19.000;8.000
Dây dù tuỳ chỉnh;2;17.000;35.000;17.000
set 6 kẹp mái tone hồng;1;20.000;39.000;20.000
Set 5 kẹp mái tone đỏ đen;0;19.000;39.000;19.000
Thiệp cài Butterfly;0;3.800;10.000;3.800
Dây đeo kèm bìa thẻ baby three;0;22.000;45.000;22.000
Vòng tay charm mèo 2 màu xanh / hồng;0;11.000;25.000;11.000
Tote đeo vai hello kitty;3;32.000;65.000;32.000
Tote gấu nâu;3;45.000;85.000;45.000
Tote hello kitty nhiều màu;1;39.000;75.000;39.000
Thiệp chúc mừng tone trắng in hình cute;0;4.200;10.000;4.200
Thiệp LOVE tone trắng;0;5.800;14.000;5.800
SET làm bánh kem;0;15.500;33.000;15.500
Baby Three Macaron Auth;0;241.666;345.000;241.666
Bìa mika trong suốt;-6;0;1.500;0
Kem dưỡng ẩm Dexeryl đặc trị da khô, dưỡng ẩm sâu 50g;2;113.000;189.000;113.000
Kem dưỡng ẩm Dexeryl đặc trị da khô, dưỡng ẩm sâu;2;46.750;295.000;187.000
QUÀ TẾT Thuyền Belluga vàng, xanh, đỏ·;0;325.000;485.000;325.000
Muối mè rắc cơm rong biển 220g;0;120.000;179.000;120.000
Gia vị rắc cơm Bebecook hộp giấy;0;68.000;99.000;68.000
TBN_Kẽm nước Zinc Biolizin 50ml;1;235.000;345.000;235.000
Sữa dưỡng thể Vaseline 10X - ban ngày vàng (tuýp);2;86.000;135.000;87.000
Dây charm đeo thú điện thoại 1m2;0;43.000;79.000;43.000
Bờm bản nhỏ gắn charm vàng mix mẫu;0;15.500;45.000;15.500
Dây dù đơn nhiều màu sắc mix match kèm tag nhựa;2;8.000;19.000;8.000
Set 5 kẹp mái nhiều hình mix mẫu cho bé;0;18.500;39.000;18.500
Móc đeo 2 đầu dây gắn charm nơ mix;0;21.000;45.000;21.000
Móc treo điện thoại hạt tròn tone ánh kim;4;17.000;38.000;17.000
Móc charm tròn mix tim treo điện thoại;6;19.500;39.000;19.500
Kẹp mái gắn charm ánh trai mix nhũ;0;7.200;15.000;7.200
Cào tóc gắn charm mix nhiều kiểu;-1;13.000;29.000;13.000
Cào tóc gấu nâu thỏ trắng;-1;18.000;39.000;18.000
Bờm min min;1;16.000;35.000;16.000
Babythree Mèo thần tài Auth;0;248.333;395.000;248.333
Bình ủ cháo Kaiyo 750ml màu ghi;1;0;445.000;299.000
Set 3 khuyên bánh bakery;1;20.500;45.000;20.500
Móc treo charm trái tim nơ ánh kim tráng gương;2;27.500;59.000;27.500
Bờm đôi mix ngọc trai;1;20.500;45.000;20.500
Bờm nhún gắn nơ;0;15.000;35.000;15.000
Thiệp cài tag trái tim;0;3.500;9.000;3.500
Bơm trơn gắn charm;0;20.444,444;39.000;21.000
Bờm nhung bản nhỏ;0;12.500;28.000;12.500
Migo travel;0;175.000;235.000;175.000
Doubou v4 y2k;0;212.500;299.000;212.500
Pháo giấy các màu;2;13.000;29.000;13.000
Set 40 món phụ kiện tóc hộp đựng hình ốc quế;0;16.500;35.000;16.500
Set 20 chun gắn charm hộp đựng bông hoa;3;19.500;39.000;19.500
Hộp set 79 món chun + kẹp tóc nhiều mẫu;1;19.000;39.000;19.000
Nước hoa hồng ý dĩ Naturie 500ml;5;95.000;159.000;95.000
Kem dưỡng ẩm Naturie 180g;4;120.000;195.000;120.000
Nước thần keo ong CNP Laboratory 100 ml;1;300.000;445.000;300.000
Nước thần keo ong CNP Laboratory 150 ml;2;369.340,278;545.000;356.000
Bút chì khúc mẫu Unicorn;1;0;9.000;2.700
Bút chì khúc Labubu;24;0;9.000;2.700
Hạt nêm cá ngừ rong biển Ajinomoto 56g;3;35.800;59.000;37.000
Bilie xanh lá bản ziper tặng kèm dây đeo;0;143.700;199.000;143.700
Đính đá khung baby three WH-1823;0;6.200;18.000;6.200
Sổ lò xo A5 120 trang mẫu mới;0;10.000;25.000;10.000
Sổ da PU A6 capy 160 trang 32K-1166;0;25.500;55.000;25.500
Sổ bìa da Depai A5 264 trang 25-43;0;42.000;75.000;42.000
Sổ da Depai A5 200 trang 25-58;0;44.000;79.000;44.000
Sổ da Depai 200 trang 25-69;0;32.000;65.000;32.000
Sổ da A5 Depai 232 trang 25-79;1;46.000;85.000;46.000
Lon giấy ướt 30 tờ kèm móc treo;0;9.500;23.000;9.500
Túi giấy hoa vàng kèm nơ size đại MS25;2;8.800;19.000;8.800
Túi giấy hoa vàng kèm nơ size trung MS25;0;7.000;15.000;7.000
Túi giấy hoa Glorious size nhỏ MS26;0;5.500;15.000;5.500
Túi giấy bìa cứng Capybara size nhỏ 19.5x14.5x8.5cm;-12;5.000;12.000;5.000
Tranh cào trò chơi bom baby three PJZ-910;11;2.700;9.000;2.700
Hộp sổ da kèm bút A5 25-66 Depai;1;59.000;129.000;59.000
Hộp sổ da kèm bút a5 hươu 25-54;0;68.000;125.000;68.000
Baby three 12 con giáp auth;0;283.333,333;399.000;275.000
Băng đô bờm đỏ nỉ nhung trộn mẫu;2;14.000;35.000;14.000
Tranh tương tác giấy nhân vật DIY 30;1;2.600;9.000;2.600
Vỉ 20 pháo giấy dài BOOM;0;2.750;9.000;2.750
Tranh tương tác giấy nhân vật DIY 30;0;2.400;9.000;2.400
bút gắn hình mực đen baby three;6;3.200;9.000;3.200
Tranh đính đá baby three 30x30;0;26.000;55.000;26.000
lego hộp bé trai nhiều mẫu;6;5.800;15.000;5.800
Ống tiết kiệm sắt khoá mã số ngựa pony s-276B;1;48.000;95.000;48.000
Ống tiết kiệm sắt thỏ melody khoá mã số s-297;2;44.000;89.000;44.000
Ống tiết kiệm sắt cappy nâu -hồng S-296;0;38.000;75.000;38.000
Ống tiết kiệm sắt labubu S-302;0;29.000;59.000;29.000
Túi mika;8;25.000;30.000;25.000
Bán lẻ - Quả cầu lông BMT-1;-26;0;15.000;9.667
TDC - Voi ú òa ( XANH );1;87.215,55;159.000;89.000
TDC - Voi ú òa ( hồng );2;95.000;159.000;95.000
Bình giữ nhiệt chú vịt;1;166.000;259.000;166.000
Bình giữ nhiệt Tone pastel;0;116.000;189.000;116.000
Bình nước cầu vồng gắn charm Unicorn;1;95.000;169.000;95.000
Đèn Hình Cây Nến- Vàng;2;25.000;55.000;25.000
Bình giữ nhiệt SHIN;0;207.000;299.000;207.000
Đèn Hình Cây Nến- Xanh;-1;25.000;55.000;25.000
Set 6 tấm hình xăm Butterfly;0;8.200;19.000;8.200
Gặm nướu Moyuum hình voi;4;200.000;289.000;200.000
Đập Trứng Labubu-72 .N (lẻ - hộp 20);1;2.401;7.000;2.401
Dao rọc giấy dài kitty DR-02;0;3.800;10.000;3.800
Sổ bìa da Business BA4/240TR-HT4955;0;43.350;75.000;45.000
Sổ bìa da Business BA4/160tr-HT4504;6;35.500;65.000;35.500
Sổ bìa da Office HH A4/240tr-HH4585;0;38.540;79.000;38.540
Sổ innova 240tr - HT6119;0;34.200;69.000;34.200
Sổ bìa cứng A5/200tr - MC No. 7801;7;28.000;55.000;28.000
Sổ bìa da cao cấp Wintex A5 No. 25-1314;0;35.000;65.000;35.000
Sổ bìa da Business B5/160tr -HT4450;0;17.500;39.000;17.500
Sổ bìa da Business B6/240tr - HT4971;0;30.800;59.000;30.800
tdc đồng hồ âm nhạc melody 360;0;26.459,168;59.000;27.000
TDC-Gậy âm nhạc Cinamoro-839M-3;0;30.870;69.000;30.870
TDC-Set 24 móc khoá baby cry-QQY-04;0;3.389;10.000;3.389
Bàn kỹ sư 53psc;1;118.580;215.000;118.580
Máy bắn bong bóng 12 nòng - 72;3;43.120;85.000;43.120
Thần Tài Lắc;0;53.900;99.000;53.900
ống nhòm kèm sáo thổi;1;54.600;99.000;56.000
Hộp quà bí mật baby three;0;28.420;59.000;28.420
Đập Trứng Labubu-72 .N;4;48.020,944;95.000;49.000
Cuốn sổ ma thuật 2in1-60 8866;0;53.900;99.000;53.900
TDC-Lego kỹ thuật điện 180psc-NKT-361;0;113.680;199.000;113.680
Tdc Đồng hồ âm nhạc labubu -ZL8528;2;26.391,825;59.000;27.000
Bông tẩy trang Elkos  Edeka 140m;7;36.000;59.000;36.000
Đèn chiếu LaBuBu-72 313;0;58.310;115.000;58.310
TDC-Khủng long đại chiến Y2021;0;116.620;199.000;116.620
TDC- Lego người máy -16 188A-31;1;157.790,54;279.000;161.000
TDC- Đập búa cua-120 666-32;0;29.400;65.000;29.400
TDC-Hứng bi lâu đài hồng-24-2203A;1;133.280;249.000;133.280
TDC-Hứng bi lâu đài xanh-24-2203A;1;136.000;249.000;136.000
TDC- Khủng long xe ôm LT-032;0;102.900;189.000;102.900
TDC-Câu cá Capybara 328-355;0;71.540;129.000;71.540
Gậy âm nhạc Melody;0;30.870;69.000;30.870
Gậy âm nhạc Capybara;1;30.870;69.000;30.870
Gậy âm nhạc Labubu;0;30.870;69.000;30.870
Gậy âm nhạc gấu dâu;1;30.870;69.000;30.870
Chậu cây đào đông decor 18cm DC-13;5;70.000;129.000;70.000
Dao rọc giấy dài gắn charm capy hồng DR-14;0;3.800;10.000;3.800
Dao rọc giấy dài Labubu DR-01;-1;3.800;10.000;3.800
Cặp vải 3 ngăn in hình mẫu ngang J1001;3;38.000;79.000;38.000
Baby three 12 cung hoàng đạo auth;0;175.000;275.000;175.000
Nommi V3 trái cây auth;0;275.000;385.000;275.000
Slumber party gấu khóc auth;0;255.000;299.000;255.000
Kimmon vương quốc hoa auth;0;214.000;249.000;214.000
TDC-Quạt treo (lộc) -300 CJ-06;0;17.640;39.000;17.640
TDC- Quạt treo (phúc) -300 CJ-05;2;17.640;39.000;17.640
TDC- quạt treo (tết)-300 CJ-08;0;17.640;39.000;17.640
TDC- Khánh treo (thọ)-300 CJ-03;0;17.640;39.000;17.640
TDC- khánh treo (lộc) -300 CJ-02;0;17.640;39.000;17.640
TDC- khánh treo (tết) -300 CJ-04;0;17.640;39.000;17.640
TDC- Khánh treo (phúc) -300 CJ-01;0;17.640;39.000;17.640
Bỏng ngô mini;0;3.800;5.000;3.800
Bánh sữa chua Hy Lạp;22;10.000;19.000;10.000
Bánh quy kéo sợi;0;45.000;79.000;45.000
Lọ thuỷ tinh đựng sao 60ml LT-05;1;8.000;19.000;8.000
Lọ thuỷ tinh đựng sao 200ml LT-04;0;12.000;26.000;12.000
Lọ thuỷ tinh đựng sao 300ml LT-03;0;15.000;34.000;15.000
Mặt nạ CNP - Pore Tightening;0;16.300;29.000;16.300
Lọ thuỷ tinh đựng sao 600ml LT-02;0;20.000;39.000;20.000
Mặt nạ CNP - Mugener Calming;0;16.300;29.000;16.300
Kẹp tóc lông xù gắn bông W1631;0;17.500;35.000;17.500
Hộp mù đồ chơi 40 ô;1;35.000;69.000;35.000
Mặt nạ vita toning essence mask;27;16.500;25.000;16.500
Móc khoá thỏ đeo nơ GB397;0;14.000;29.000;14.000
Lego túi bé trai nhiều mẫu;-1;5.500;15.000;5.500
Mặt nạ Mediheal collagen mucin essence mask ( màu tím );-5;16.500;25.000;16.500
Mặt nạ Mediheal double calming water mask ( xanh lá );19;16.500;25.000;16.500
Bút chì kim Capy kèm móc khoá Mica No.929;18;12.000;25.000;12.000
Bài dây Baby Three;14;2.917;9.000;2.917
Khăn giấy khô bỏ túi mini;9;1.900;5.000;1.900
Hộp sổ quà tặng Baby Three YH64C;0;26.000;55.000;26.000
Sổ sticker trang điểm mẫu mới XQ805;3;5.000;15.000;5.000
Móc dán tường hình cute 5.3x5.3cm DT02;5;3.000;8.000;3.000
Móc dán tường gắn hình cute DT01;16;1.800;5.000;1.800
Túi 40 sticker pet động vật dễ thương STK04;1;7.000;18.000;7.000
Móc dán tường 3 nhánh gắn Charm Capy DT03;6;4.000;10.000;4.000
Túi 3 tấm sticker vintage pet STK01;0;7.000;18.000;7.000
Túi 50 stickers Vintage STK12;0;7.000;18.000;7.000
Túi 40 stickers dây trang trí viền STK15;0;8.000;19.000;8.000
Móc khoá dây bi Labubu MK60;1;10.000;25.000;10.000
Scrunchy buộc tóc gắn gấu bông W2478;5;16.000;33.000;16.000
Móc khoá đồ ăn Capy GB553;0;9.000;19.000;9.000
Sticker Baby Three kèm xẻng;2;2.250;8.000;2.250
Móc khoá Mica gấu bông nâu MC01;8;4.600;12.000;4.600
Hũ slime dẻo chó Shiba TK4000B;0;15.000;35.000;15.000
Hũ slime dẻo hương trái cây TK4000A;0;15.000;35.000;15.000
Sổ sticker tô màu Sanrio 2439;2;5.000;14.000;5.000
Sổ Sticker tô màu Capy 2439;4;5.000;14.000;5.000
Set 3 tấm sticker Baby three Sz-135;0;2.600;9.000;2.600
Hũ slam dẻo vuông kèm cốm hình thỏ TK-4004B;0;14.000;29.000;14.000
Hũ slam dẻo vuông kèm thạch động vật TK-4004A;2;14.000;29.000;14.000
Móc khoá Mica Capybara Mc16;0;3.000;8.000;3.000
Móc khoá Mica hình Loopy -MC03;2;4.600;12.000;4.600
Móc khoá Mica hình chó trắng -MC02;2;4.600;12.000;4.600
Móc khoá Mica hình gấu bông MC05;3;4.600;12.000;4.600
Móc khoá bông Sushi cá hồi-GB399;0;24.000;49.000;24.000
Hộp blind box charm Baby Three-MK01;3;3.200;9.000;3.200
Tẩy túi bất ngờ Capy-225;0;3.700;10.000;3.700
Tẩy túi bất ngờ sanrio-1002;0;3.700;10.000;3.700
Tẩy hình Labubu 1068;5;2.000;6.000;2.000
Sticker hộp nhựa baby three AMX-702;2;3.000;8.000;3.000
Móc khóa bé ba kèm chuông hộp nhựa 2688-92;36;4.800;12.000;4.800
Cặp 40 lá màu trơn 40P-C818;0;26.000;49.000;26.000
Cặp 40 lá họa tiết dọc 40P-FP-186;0;26.000;49.000;26.000
Bút xoá nước Labubu;14;5.500;14.000;5.500
Slam dẻo capy DDN-1911;0;4.500;12.000;4.500
Hộp tẩy ảo thuật Capy 6319;1;7.500;18.000;7.500
Hộp charm túi mù baby three rạp xiếc A11 (lốc 32);1;2.600;9.000;2.600
Tẩy đất set Capybara kèm hộp nhựa MM-A5;3;3.800;10.000;3.800
Tẩy đất sét Sanrio kèm hộp nhựa MM-A3;42;3.800;10.000;3.800
Cặp chun 8 hình con trai 8311;0;21.500;45.000;21.500
Cặp chun 8 ngăn Labubu 8332;10;21.500;45.000;21.500
Cặp chun 8 ngăn Kuromi 8322;-10;21.500;45.000;21.500
Hộp blind box kuromi 398826A;3;26.000;55.000;26.000
Hộp blind box gấu dâu 398831A;0;18.000;38.000;18.000
Hộp blind box melody hồng;1;26.000;55.000;26.000
Hộp blind box Loopy;0;15.000;32.000;15.000
Đồ chơi squishy 8861;6;16.000;35.000;16.000
Đồ chơi ghép khối BEZ-201;1;112.000;195.000;112.000
Đồ chơi bảng học vẽ 168-32;1;53.000;99.000;53.000
Đồ chơi xe xúc điều khiển 567-7;2;98.650;195.000;87.300
Đồ chơi ô tô điều khiển 163-E8038A;0;165.000;279.000;165.000
Đồ chơi ô tô điều khiển - DH666-24A;1;142.000;259.000;142.000
Đồ chơi ô tô điều khiển 3041;0;100.000;179.000;100.000
Blindbox Sonny Angels;2;15.417;35.000;15.417
Kẹp mái ánh kim loại tone hồng /ánh kim;8;7.500;17.000;7.500
Díp 50 chun các màu;7;11.000;25.000;11.000
Blindbox charm Labubu yoga;1;16.666;35.000;16.666
Set 3 chun buộc tóc đan nhiều màu;1;11.500;25.000;11.500
Thảm thấm nước hình thú 40x60cm;2;55.000;95.000;55.000
Thảm mèo 40x60cm;0;67.000;115.000;67.000
Hũ slime mật ong;0;18.500;39.000;18.500
Set 5 kẹp mái tôn đỏ;0;18.500;39.000;18.500
Set khuyên tai + dây;0;14.000;29.000;14.000
Set khuyên tai trần;7;12.500;29.000;12.500
Cào tóc đính 5 charm;1;18.500;39.000;18.500
Hũ slime hồng đào;0;18.500;39.000;18.500
Kẹp tóc cục bông nhiều màu;1;8.800;19.000;8.800
Cào nhựa đính charm thú xà cừ;0;11.500;25.000;11.500
Set móng chân giả;6;10.000;23.000;10.000
Hộp gấu 4c bông mút dặm phấn;0;18.500;39.000;18.500
Set 2 lì xì lân dọc màu đỏ( tặng);4;0;0;3.650
Set 2 lì xì lân ngang màu đỏ( tặng);3;0;0;3.650
Set 2 lì xì lân 2 màu (tặng);1;0;0;2.750
Set 3 lì xì chibi (tặng);0;0;0;1.320
Sữa Morinaga thanh;0;120.000;120.000;120.000
Kem nẻ ông già nga;7;33.000;65.000;33.000
Son nẻ ông già tuyết;1;20.000;45.000;20.000
Son nẻ trái cây fito;3;22.000;45.000;22.000
Kem dưỡng Balsam Bubchen;3;90.000;139.000;90.000
Kem đánh răng Synergetic 3-6t các vị;0;40.000;69.000;40.000
Son dưỡng bé gái Lip Care;0;83.000;119.000;83.000
Baby Drops Vitamin D3;2;259.583,333;385.000;270.000
Set nước thần keo ong CNP Laboratory;0;690.000;985.000;690.000
Set 5 lì xì chibi;0;0;10.000;2.200
Lì xì gieo quẻ;0;0;12.000;4.500
Lì xì 6 ngăn;0;0;12.000;4.600
Lì xì 2 ngăn;0;0;12.000;4.400
Quần chip gu set 6 size XL;2;198.333,333;299.000;200.000
Ninja Rantaro tập 42;3;32.000;40.000;32.000
Ninja Rantaro tập 41;3;32.000;40.000;32.000
Ninja Rantaro tập 40;3;32.000;40.000;32.000
Ninja Rantaro tập 39;3;32.000;40.000;32.000
Táo đỏ kẹp sữa lạc đà Kaza 500g;1;130.000;169.000;130.000
Hello Kitty váy đen nơ vàng 50cm;0;95.000;175.000;95.000
Bình giữ nhiệt gấu thỏ;0;90.000;149.000;90.000
